Pairs,Simlarity Rating
ba,245.5
ca,258
cb,267
da,224.5
db,366.5
dc,233.5
ea,333.5
eb,266.5
ec,312.5
ed,229
fa,200
fb,179
fc,175
fd,200
fe,212
ga,283.5
gb,295.5
gc,262
gd,325
ge,266.5
gf,225
ha,183
hb,329
hc,245.5
hd,308
he,199.5
hf,200
hg,191.5
ia,183.5
ib,158.5
ic,162.5
id,183
ie,154
if,192
ig,187.5
ih,183.5
ja,166.5
jb,175
jc,220.5
jd,208
je,171
jf,262.5
jg,274.5
jh,212.5
ji,354
ka,145.5
kb,258
kc,179
kd,220.5
ke,162.5
kf,162.5
kg,187.5
kh,329
ki,175
kj,162.5
la,158
lb,216.5
lc,129
ld,220.5
le,150
lf,254
lg,166.5
lh,200
li,379
lj,237
lk,208.5
ma,225
mb,171
mc,212.5
md,183.5
me,200
mf,183.5
mg,220.5
mh,229
mi,196
mj,150
mk,175
ml,154.5
na,233.5
nb,220.5
nc,329
nd,196
ne,224.5
nf,187.5
ng,195.5
nh,341.5
ni,200
nj,212
nk,141.5
nl,150
nm,375
oa,275
ob,295.5
oc,329
od,291
oe,325
of,146
og,245.5
oh,195.5
oi,191.5
oj,204
ok,150
ol,137.5
om,225
on,246
pa,241.5
pb,350
pc,254
pd,316.5
pe,266.5
pf,183
pg,320.5
ph,254
pi,191.5
pj,233
pk,195.5
pl,154
pm,187.5
pn,216
po,316.5
qa,241
qb,358.5
qc,254
qd,366.5
qe,225
qf,183.5
qg,442
qh,220.5
qi,150
qj,179.5
qk,162.5
ql,179
qm,167
qn,220.5
qo,250
qp,408
ra,241.5
rb,233.5
rc,287.5
rd,258
re,291.5
rf,250
rg,208.5
rh,337.5
ri,200
rj,245.5
rk,187.5
rl,146
rm,283
rn,304
ro,229
rp,291
rq,216.5
sa,258
sb,200
sc,283.5
sd,204
se,287.5
sf,191.5
sg,224.5
sh,154
si,187.5
sj,191.5
sk,154
sl,150
sm,208.5
sn,204
so,216.5
sp,245.5
sq,187.5
sr,212
ta,175
tb,229
tc,204
td,233.5
te,175
tf,321
tg,204
th,204
ti,233
tj,270.5
tk,208
tl,300
tm,191.5
tn,187.5
to,175
tp,204
tq,170.5
tr,229
ts,191.5
ua,237.5
ub,216.5
uc,320.5
ud,229
ue,266
uf,175
ug,216.5
uh,312
ui,204
uj,249.5
uk,187.5
ul,170.5
um,224
un,333
uo,312.5
up,204
uq,216
ur,266.5
us,204
ut,192
va,175
vb,187.5
vc,292
vd,187.5
ve,192
vf,191.5
vg,187.5
vh,237.5
vi,179
vj,237.5
vk,216.5
vl,154.5
vm,191.5
vn,245.5
vo,266.5
vp,183
vq,191.5
vr,229
vs,200
vt,208
vu,400
wa,187.5
wb,150
wc,212
wd,154
we,175
wf,175
wg,175
wh,175
wi,175
wj,171
wk,175
wl,154.5
wm,333
wn,254
wo,158.5
wp,200
wq,179
wr,183
ws,242
wt,175
wu,349.5
wv,316.5
xa,187.5
xb,158.5
xc,196
xd,158
xe,195.5
xf,146
xg,175
xh,166.5
xi,175
xj,170.5
xk,379
xl,154.5
xm,216.5
xn,175
xo,158.5
xp,158
xq,179
xr,221
xs,208.5
xt,183
xu,216.5
xv,270.5
xw,187.5
ya,191.5
yb,233
yc,237
yd,233
ye,187
yf,179
yg,374.5
yh,258
yi,183.5
yj,225.5
yk,229
yl,154
ym,199.5
yn,229
yo,204
yp,245.5
yq,266.5
yr,220.5
ys,204
yt,192
yu,379
yv,337.5
yw,250
yx,204
za,246
zb,166.5
zc,258
zd,141.5
ze,271
zf,166.5
zg,175
zh,179
zi,183.5
zj,179
zk,191.5
zl,150
zm,221
zn,220.5
zo,166.5
zp,204
zq,171
zr,229
zs,320.5
zt,199.5
zu,229
zv,208.5
zw,262
zx,250
zy,212.5
